
"TS062 - NS-SeC"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2024]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total: All usual residents aged 16 years and over","L1, L2 and L3 Higher managerial, administrative and professional occupations","L4, L5 and L6 Lower managerial, administrative and professional occupations","L7 Intermediate occupations","L8 and L9 Small employers and own account workers","L10 and L11 Lower supervisory and technical occupations","L12 Semi-routine occupations","L13 Routine occupations","L14.1 and L14.2 Never worked and long-term unemployed","L15 Full-time students"

"Barking and Dagenham","E09000002",100.0,7.0,15.3,10.5,13.0,5.0,12.1,13.0,13.1,11.0
"Barnet","E09000003",100.0,18.6,20.8,9.9,14.1,3.2,7.6,6.8,10.0,8.9
"Bexley","E09000004",100.0,13.0,20.6,15.1,10.8,5.2,10.7,9.7,7.9,7.0
"Brent","E09000005",100.0,11.6,16.4,8.7,13.4,4.2,9.7,12.1,13.2,10.7
"Bromley","E09000006",100.0,20.5,24.3,13.2,11.4,3.8,8.2,6.3,6.6,5.8
"Camden","E09000007",100.0,23.8,21.0,6.7,9.0,2.6,6.3,5.5,9.8,15.2
"City of London","E09000001",100.0,39.7,23.9,5.4,7.1,1.7,3.6,3.2,5.5,10.0
"Croydon","E09000008",100.0,14.7,21.3,12.2,11.4,4.2,10.0,8.7,9.6,7.9
"Ealing","E09000009",100.0,14.8,18.8,9.4,11.7,4.2,8.8,10.6,12.2,9.6
"Enfield","E09000010",100.0,11.6,18.1,10.3,12.8,4.2,10.2,10.7,12.9,9.0
"Greenwich","E09000011",100.0,16.7,20.1,9.7,9.9,4.4,10.2,9.5,10.3,9.1
"Hackney","E09000012",100.0,18.6,23.1,8.3,9.3,3.4,7.8,8.3,11.8,9.5
"Hammersmith and Fulham","E09000013",100.0,23.1,22.6,7.9,9.6,3.3,6.9,7.0,8.9,10.7
"Haringey","E09000014",100.0,15.8,20.9,7.6,12.5,4.1,8.3,10.4,11.3,9.0
"Harrow","E09000015",100.0,16.5,18.8,10.8,14.7,3.2,8.5,7.7,10.8,8.9
"Havering","E09000016",100.0,12.5,20.1,14.9,12.5,5.1,10.8,9.6,8.2,6.2
"Hillingdon","E09000017",100.0,13.3,18.9,11.8,10.8,4.9,9.8,10.3,10.5,9.6
"Hounslow","E09000018",100.0,13.2,18.3,10.3,11.5,5.0,10.1,11.8,11.4,8.5
"Islington","E09000019",100.0,23.7,22.1,7.5,8.1,3.2,6.9,7.3,10.1,11.1
"Kensington and Chelsea","E09000020",100.0,26.2,19.8,6.4,11.3,2.3,6.5,5.7,10.5,11.3
"Kingston upon Thames","E09000021",100.0,20.9,23.4,10.4,11.0,3.4,7.7,6.2,7.0,10.0
"Lambeth","E09000022",100.0,21.9,23.4,8.3,8.9,3.6,7.5,9.2,8.4,8.8
"Lewisham","E09000023",100.0,17.0,23.1,9.4,9.7,4.1,9.2,8.9,9.6,9.0
"Merton","E09000024",100.0,19.9,21.9,10.2,12.4,3.8,8.6,7.8,8.0,7.3
"Newham","E09000025",100.0,10.7,15.3,8.3,12.2,4.3,10.5,10.8,15.1,12.7
"Redbridge","E09000026",100.0,14.7,18.5,10.6,13.6,3.4,9.1,7.7,12.4,10.0
"Richmond upon Thames","E09000027",100.0,27.8,26.3,9.1,11.4,2.5,5.5,4.6,5.5,7.1
"Southwark","E09000028",100.0,21.0,21.5,8.0,7.9,3.7,8.0,9.5,9.1,11.4
"Sutton","E09000029",100.0,16.2,22.5,13.4,11.9,4.5,9.6,8.1,7.4,6.4
"Tower Hamlets","E09000030",100.0,20.9,18.9,7.8,7.1,3.5,7.9,7.2,13.7,13.1
"Waltham Forest","E09000031",100.0,13.6,21.0,9.5,13.5,4.3,9.2,9.5,10.9,8.6
"Wandsworth","E09000032",100.0,27.7,25.2,8.2,9.4,2.9,6.1,5.9,7.0,7.7
"Westminster","E09000033",100.0,25.2,19.1,6.7,9.4,2.6,6.4,5.8,11.8,12.9



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

