
"TS006 - Population density"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2024]"
"Population :","All usual residents"
"Units      :","Persons"
"Population Density:","Usual residents per square kilometre"

"2022 local authorities: county","mnemonic","2021"

"Barking and Dagenham","E09000002",6065.8
"Barnet","E09000003",4488.7
"Bexley","E09000004",4070.7
"Brent","E09000005",7859.6
"Bromley","E09000006",2197.7
"Camden","E09000007",9640.9
"City of London","E09000001",2975.0
"Croydon","E09000008",4516.0
"Ealing","E09000009",6611.6
"Enfield","E09000010",4082.5
"Greenwich","E09000011",6108.6
"Hackney","E09000012",13593.3
"Hammersmith and Fulham","E09000013",11161.1
"Haringey","E09000014",8930.2
"Harrow","E09000015",5175.4
"Havering","E09000016",2332.3
"Hillingdon","E09000017",2644.0
"Hounslow","E09000018",5148.0
"Islington","E09000019",14574.9
"Kensington and Chelsea","E09000020",11816.5
"Kingston upon Thames","E09000021",4512.1
"Lambeth","E09000022",11839.1
"Lewisham","E09000023",8551.5
"Merton","E09000024",5721.6
"Newham","E09000025",9690.1
"Redbridge","E09000026",5501.9
"Richmond upon Thames","E09000027",3401.9
"Southwark","E09000028",10659.0
"Sutton","E09000029",4781.0
"Tower Hamlets","E09000030",15702.9
"Waltham Forest","E09000031",7173.3
"Wandsworth","E09000032",9560.0
"Westminster","E09000033",9514.2



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

