
"TS054 - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 29 November 2024]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total: All households","Owned","Shared ownership","Social rented","Private rented","Lives rent free","Owns with a mortgage or loan or shared ownership","Private rented or lives rent free"

"Barking and Dagenham","E09000002",100.0,42.4,1.7,31.5,24.2,0.2,29.0,24.4
"Barnet","E09000003",100.0,52.7,1.1,13.5,32.7,0.1,27.5,32.8
"Bexley","E09000004",100.0,68.6,1.3,14.7,15.3,0.1,37.2,15.4
"Brent","E09000005",100.0,38.4,1.9,23.5,36.0,0.1,20.2,36.2
"Bromley","E09000006",100.0,68.5,0.9,13.2,17.4,0.0,36.4,17.5
"Camden","E09000007",100.0,29.7,0.8,33.7,35.6,0.3,14.5,35.9
"City of London","E09000001",100.0,36.5,0.2,14.9,48.3,0.1,14.1,48.4
"Croydon","E09000008",100.0,54.7,1.4,17.9,25.8,0.2,31.9,26.0
"Ealing","E09000009",100.0,46.2,2.0,17.5,34.0,0.2,25.6,34.3
"Enfield","E09000010",100.0,52.4,1.1,17.0,29.3,0.2,27.2,29.5
"Greenwich","E09000011",100.0,41.1,2.2,31.0,25.5,0.2,27.1,25.7
"Hackney","E09000012",100.0,24.6,2.5,40.5,32.2,0.2,17.4,32.4
"Hammersmith and Fulham","E09000013",100.0,32.1,1.5,29.8,36.4,0.2,18.2,36.6
"Haringey","E09000014",100.0,37.2,1.6,25.2,35.6,0.4,21.6,35.9
"Harrow","E09000015",100.0,58.8,1.1,10.4,29.6,0.2,29.8,29.7
"Havering","E09000016",100.0,69.5,1.0,13.6,15.8,0.1,36.0,15.9
"Hillingdon","E09000017",100.0,56.6,1.3,16.1,25.9,0.1,31.3,26.0
"Hounslow","E09000018",100.0,45.7,2.2,21.0,30.9,0.3,26.7,31.2
"Islington","E09000019",100.0,26.7,1.6,40.2,31.2,0.3,16.8,31.5
"Kensington and Chelsea","E09000020",100.0,31.7,1.0,27.6,39.6,0.2,12.8,39.8
"Kingston upon Thames","E09000021",100.0,60.9,0.7,11.0,27.3,0.1,33.3,27.4
"Lambeth","E09000022",100.0,33.0,1.8,33.6,31.4,0.2,22.8,31.6
"Lewisham","E09000023",100.0,41.9,1.6,29.2,27.2,0.1,28.0,27.3
"Merton","E09000024",100.0,55.6,1.1,14.2,29.1,0.1,31.4,29.1
"Newham","E09000025",100.0,30.8,2.4,28.0,38.5,0.3,20.5,38.8
"Redbridge","E09000026",100.0,57.1,0.9,11.3,30.4,0.2,31.1,30.7
"Richmond upon Thames","E09000027",100.0,62.4,0.7,12.1,24.7,0.1,32.7,24.8
"Southwark","E09000028",100.0,28.9,2.4,39.7,28.7,0.3,20.7,29.0
"Sutton","E09000029",100.0,64.4,1.1,14.2,20.3,0.1,37.1,20.3
"Tower Hamlets","E09000030",100.0,23.1,2.6,35.9,38.2,0.2,17.9,38.4
"Waltham Forest","E09000031",100.0,48.9,1.7,21.5,27.8,0.1,30.4,27.9
"Wandsworth","E09000032",100.0,42.5,1.8,19.3,36.3,0.1,26.5,36.4
"Westminster","E09000033",100.0,27.4,0.7,28.3,43.3,0.3,12.1,43.6



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

