id,listing_url,host_id,host_total_listings_count,latitude,longitude,property_type,room_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews
198258,https://www.airbnb.com/rooms/198258,967537,1,51.5343,0.08178,Private room in rental unit,Private room,67.0,2,100,363,41
33332,https://www.airbnb.com/rooms/33332,144444,2,51.4641,-0.32498,Private room in home,Private room,140.0,2,21,365,20
42010,https://www.airbnb.com/rooms/42010,157884,4,51.5859,-0.16434,Private room in home,Private room,65.0,4,365,208,556
284603,https://www.airbnb.com/rooms/284603,1481851,2,51.51464,-0.20004,Entire rental unit,Entire home/apt,297.0,14,365,0,6
89870,https://www.airbnb.com/rooms/89870,54730,5,51.56792,-0.11125,Entire rental unit,Entire home/apt,149.0,1,60,357,133
326146,https://www.airbnb.com/rooms/326146,1667975,2,51.57139,-0.03131,Private room in rental unit,Private room,120.0,7,21,0,0
96052,https://www.airbnb.com/rooms/96052,448154,2,51.5593,-0.22497,Private room in condo,Private room,52.0,3,180,352,80
381467,https://www.airbnb.com/rooms/381467,1913410,7,51.4875,-0.19608,Entire rental unit,Entire home/apt,143.0,2,1125,0,265
390987,https://www.airbnb.com/rooms/390987,1955537,6,51.42643,-0.09726,Private room in home,Private room,41.0,14,1000,334,12
394755,https://www.airbnb.com/rooms/394755,1973515,1,51.54632,-0.13666,Entire rental unit,Entire home/apt,80.0,5,1125,0,1
468438,https://www.airbnb.com/rooms/468438,2324518,3,51.56217,-0.11416,Private room in townhouse,Private room,30.0,2,40,0,237
475700,https://www.airbnb.com/rooms/475700,2358441,1,51.53896,-0.13997,Private room in loft,Private room,95.0,3,30,0,7
117203,https://www.airbnb.com/rooms/117203,255103,1,51.50155001001136,-0.2330022236049805,Entire rental unit,Entire home/apt,136.0,5,120,13,86
565770,https://www.airbnb.com/rooms/565770,1958273,6,51.47789,-0.39478,Entire cabin,Entire home/apt,50.0,1,1125,350,254
493679,https://www.airbnb.com/rooms/493679,423121,1,51.53171,-0.0612,Entire rental unit,Entire home/apt,140.0,2,20,0,2
569402,https://www.airbnb.com/rooms/569402,2802762,1,51.44878,-0.05803,Entire home,Entire home/apt,300.0,6,1125,0,8
501837,https://www.airbnb.com/rooms/501837,2476271,2,51.54548,-0.16365,Entire rental unit,Entire home/apt,124.0,3,1125,162,137
571906,https://www.airbnb.com/rooms/571906,375971,1,51.567997573832336,-0.0061942999999999,Private room in home,Private room,76.0,2,21,363,23
502190,https://www.airbnb.com/rooms/502190,2478162,1,51.54609,-0.20163,Private room in townhouse,Private room,50.0,1,21,0,548
821334,https://www.airbnb.com/rooms/821334,4309270,2,51.46914,-0.13246,Private room in rental unit,Private room,60.0,1,5,0,130
573374,https://www.airbnb.com/rooms/573374,2821391,2,51.40261,-0.03656,Private room in home,Private room,200.0,1,1125,365,0
834616,https://www.airbnb.com/rooms/834616,4365977,5,51.51183,-0.28093,Private room in home,Private room,43.0,3,14,0,259
843488,https://www.airbnb.com/rooms/843488,1965214,2,51.49455280864089,-0.2045996514301291,Private room in rental unit,Private room,90.0,4,90,53,8
874463,https://www.airbnb.com/rooms/874463,4616179,4,51.55532,-0.05239,Private room in rental unit,Private room,53.0,1,1125,296,100
726882,https://www.airbnb.com/rooms/726882,2608240,10,51.48794,-0.20358,Private room in serviced apartment,Private room,52.0,3,365,42,298
875754,https://www.airbnb.com/rooms/875754,2896963,6,51.64105,-0.03861,Entire townhouse,Entire home/apt,150.0,5,1125,312,33
728581,https://www.airbnb.com/rooms/728581,3215001,2,51.45414,-0.07921,Entire rental unit,Entire home/apt,70.0,5,14,3,28
