
"TS044 - Accommodation type"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2024]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total","Detached","Semi-detached","Terraced","In a purpose-built block of flats or tenement","Part of a converted or shared house, including bedsits","Part of another converted building, for example, former school, church or warehouse","In a commercial building, for example, in an office building, hotel or over a shop","A caravan or other mobile or temporary structure"

"Barking and Dagenham","E09000002",100.0,5.1,22.1,41.6,27.7,2.1,0.3,1.0,0.1
"Barnet","E09000003",100.0,10.1,27.5,14.9,36.6,8.8,0.7,1.3,0.1
"Bexley","E09000004",100.0,7.4,44.2,23.6,21.3,1.8,0.4,1.2,0.0
"Brent","E09000005",100.0,6.0,22.3,14.9,38.0,16.5,0.6,1.5,0.1
"Bromley","E09000006",100.0,18.1,29.9,20.6,23.5,5.8,0.7,1.3,0.2
"Camden","E09000007",100.0,1.7,3.6,8.1,56.2,26.2,1.8,2.4,0.1
"City of London","E09000001",100.0,0.1,0.3,1.6,87.0,1.3,5.5,4.1,0.0
"Croydon","E09000008",100.0,12.2,24.7,23.3,29.0,8.5,0.8,1.5,0.1
"Ealing","E09000009",100.0,5.1,21.9,23.4,34.5,12.7,0.9,1.4,0.2
"Enfield","E09000010",100.0,7.5,24.8,28.9,30.4,6.5,0.7,1.2,0.1
"Greenwich","E09000011",100.0,4.1,17.6,26.7,43.1,6.0,1.5,1.0,0.1
"Hackney","E09000012",100.0,1.4,3.6,13.9,60.4,15.5,3.4,1.6,0.2
"Hammersmith and Fulham","E09000013",100.0,1.1,4.7,18.8,48.1,24.5,1.2,1.5,0.1
"Haringey","E09000014",100.0,3.9,9.4,25.6,35.4,22.8,1.2,1.6,0.1
"Harrow","E09000015",100.0,11.3,37.1,16.9,26.2,6.4,0.6,1.3,0.0
"Havering","E09000016",100.0,11.1,41.2,24.3,19.8,1.7,0.4,1.1,0.3
"Hillingdon","E09000017",100.0,13.9,35.1,19.9,26.2,2.9,0.5,1.3,0.3
"Hounslow","E09000018",100.0,4.9,28.6,20.5,37.4,6.4,0.8,1.2,0.2
"Islington","E09000019",100.0,0.9,2.7,12.7,57.4,21.3,3.1,1.9,0.1
"Kensington and Chelsea","E09000020",100.0,1.1,3.1,12.8,56.7,23.5,1.2,1.5,0.1
"Kingston upon Thames","E09000021",100.0,12.6,31.7,17.2,29.8,6.5,0.6,1.4,0.1
"Lambeth","E09000022",100.0,2.0,7.8,15.0,51.6,20.6,1.9,1.1,0.1
"Lewisham","E09000023",100.0,3.0,13.0,26.2,39.1,16.3,1.0,1.3,0.1
"Merton","E09000024",100.0,5.7,19.0,35.7,28.4,9.2,0.7,1.3,0.1
"Newham","E09000025",100.0,5.5,10.3,31.3,43.6,7.0,0.7,1.4,0.2
"Redbridge","E09000026",100.0,7.0,27.0,32.3,25.4,6.5,0.5,1.3,0.1
"Richmond upon Thames","E09000027",100.0,8.3,25.0,26.6,28.2,8.8,1.2,1.8,0.2
"Southwark","E09000028",100.0,1.8,5.7,14.3,64.4,9.6,2.9,1.1,0.2
"Sutton","E09000029",100.0,10.5,27.9,24.5,31.3,3.9,0.6,1.3,0.0
"Tower Hamlets","E09000030",100.0,0.9,2.3,8.8,80.7,2.3,3.5,1.3,0.2
"Waltham Forest","E09000031",100.0,4.1,16.4,34.7,30.7,12.0,0.7,1.4,0.1
"Wandsworth","E09000032",100.0,2.2,7.0,22.2,48.1,17.7,1.3,1.4,0.1
"Westminster","E09000033",100.0,1.1,1.8,7.2,70.2,16.1,1.4,2.1,0.1



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

