
"TS019 - Migrant Indicator"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2024]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total: All usual residents","Address one year ago is the same as the address of enumeration","Address one year ago is student term-time or boarding school address in the UK","Migrant from within the UK: Address one year ago was in the UK","Migrant from outside the UK: Address one year ago was outside the UK"

"Barking and Dagenham","E09000002",100.0,91.4,0.1,7.4,1.0
"Barnet","E09000003",100.0,88.6,0.4,9.5,1.5
"Bexley","E09000004",100.0,91.9,0.3,7.3,0.6
"Brent","E09000005",100.0,87.0,0.3,10.9,1.7
"Bromley","E09000006",100.0,91.0,0.2,8.1,0.7
"Camden","E09000007",100.0,79.8,1.7,14.5,3.9
"City of London","E09000001",100.0,73.0,2.2,18.3,6.4
"Croydon","E09000008",100.0,90.3,0.3,8.6,0.9
"Ealing","E09000009",100.0,87.9,0.4,10.1,1.7
"Enfield","E09000010",100.0,91.2,0.2,7.7,0.9
"Greenwich","E09000011",100.0,88.0,0.3,10.3,1.4
"Hackney","E09000012",100.0,84.5,0.5,13.5,1.6
"Hammersmith and Fulham","E09000013",100.0,79.8,1.2,16.2,2.7
"Haringey","E09000014",100.0,86.3,0.3,11.8,1.5
"Harrow","E09000015",100.0,89.7,0.3,8.6,1.4
"Havering","E09000016",100.0,91.4,0.2,7.8,0.6
"Hillingdon","E09000017",100.0,89.0,0.6,9.0,1.4
"Hounslow","E09000018",100.0,88.4,0.2,9.6,1.8
"Islington","E09000019",100.0,80.3,1.0,15.9,2.7
"Kensington and Chelsea","E09000020",100.0,81.6,1.2,13.2,4.0
"Kingston upon Thames","E09000021",100.0,87.3,0.9,10.1,1.7
"Lambeth","E09000022",100.0,81.9,0.7,15.5,1.8
"Lewisham","E09000023",100.0,88.0,0.4,10.4,1.2
"Merton","E09000024",100.0,88.2,0.3,10.1,1.4
"Newham","E09000025",100.0,86.8,0.3,10.7,2.2
"Redbridge","E09000026",100.0,90.3,0.2,8.2,1.3
"Richmond upon Thames","E09000027",100.0,87.6,0.5,10.2,1.7
"Southwark","E09000028",100.0,83.1,1.0,13.7,2.2
"Sutton","E09000029",100.0,91.1,0.2,7.9,0.8
"Tower Hamlets","E09000030",100.0,79.2,1.0,16.3,3.4
"Waltham Forest","E09000031",100.0,89.2,0.2,9.7,1.0
"Wandsworth","E09000032",100.0,80.1,0.7,17.3,1.9
"Westminster","E09000033",100.0,79.0,1.1,15.0,4.9



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

