
"TS052 - Occupancy rating for bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2024]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total: All households","Occupancy rating of bedrooms: +2 or more","Occupancy rating of bedrooms: +1","Occupancy rating of bedrooms: 0","Occupancy rating of bedrooms: -1","Occupancy rating of bedrooms: -2 or less"

"Barking and Dagenham","E09000002",100.0,14.5,26.0,41.7,14.4,3.4
"Barnet","E09000003",100.0,28.7,27.2,34.8,7.8,1.6
"Bexley","E09000004",100.0,31.9,33.2,28.7,5.2,0.9
"Brent","E09000005",100.0,19.1,23.0,40.9,12.6,4.3
"Bromley","E09000006",100.0,36.6,31.3,27.6,4.0,0.5
"Camden","E09000007",100.0,14.4,26.5,49.6,7.7,1.8
"City of London","E09000001",100.0,7.9,23.6,63.8,4.2,0.5
"Croydon","E09000008",100.0,26.4,27.3,35.9,8.8,1.6
"Ealing","E09000009",100.0,22.4,25.0,39.5,10.3,2.8
"Enfield","E09000010",100.0,25.3,26.3,35.5,10.4,2.5
"Greenwich","E09000011",100.0,19.8,28.9,40.6,8.7,2.0
"Hackney","E09000012",100.0,11.9,24.3,51.1,10.4,2.3
"Hammersmith and Fulham","E09000013",100.0,17.6,25.1,48.2,7.6,1.5
"Haringey","E09000014",100.0,18.8,24.4,43.4,10.7,2.8
"Harrow","E09000015",100.0,29.6,27.0,31.3,9.4,2.8
"Havering","E09000016",100.0,33.9,32.0,28.0,5.2,0.8
"Hillingdon","E09000017",100.0,25.0,28.8,34.9,9.1,2.2
"Hounslow","E09000018",100.0,20.4,25.5,39.5,11.2,3.3
"Islington","E09000019",100.0,11.8,25.5,53.4,8.0,1.4
"Kensington and Chelsea","E09000020",100.0,16.3,28.8,46.8,6.1,2.0
"Kingston upon Thames","E09000021",100.0,32.5,30.0,31.5,5.2,0.8
"Lambeth","E09000022",100.0,16.0,26.0,47.4,8.5,2.1
"Lewisham","E09000023",100.0,18.7,27.2,42.7,9.2,2.2
"Merton","E09000024",100.0,28.8,28.6,33.2,7.6,1.8
"Newham","E09000025",100.0,12.5,22.5,43.4,15.9,5.7
"Redbridge","E09000026",100.0,28.1,26.6,32.1,10.5,2.6
"Richmond upon Thames","E09000027",100.0,35.3,31.3,29.3,3.5,0.5
"Southwark","E09000028",100.0,13.6,26.0,48.2,9.7,2.5
"Sutton","E09000029",100.0,28.3,30.5,34.0,6.4,0.8
"Tower Hamlets","E09000030",100.0,7.5,24.2,52.4,12.3,3.5
"Waltham Forest","E09000031",100.0,21.1,27.9,37.5,10.5,3.0
"Wandsworth","E09000032",100.0,21.6,28.1,42.8,6.4,1.2
"Westminster","E09000033",100.0,12.2,26.5,51.1,8.1,2.2



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

