
"TS011 - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2024]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total: All households","Household is not deprived in any dimension","Household is deprived in one dimension","Household is deprived in two dimensions","Household is deprived in three dimensions","Household is deprived in four dimensions"

"Barking and Dagenham","E09000002",100.0,37.6,37.1,19.1,5.9,0.4
"Barnet","E09000003",100.0,49.6,33.0,13.3,3.6,0.4
"Bexley","E09000004",100.0,48.5,34.2,13.9,3.1,0.2
"Brent","E09000005",100.0,39.9,36.5,17.7,5.3,0.5
"Bromley","E09000006",100.0,54.6,31.2,11.3,2.6,0.2
"Camden","E09000007",100.0,47.5,31.9,14.6,5.3,0.7
"City of London","E09000001",100.0,59.8,31.5,7.1,1.5,0.2
"Croydon","E09000008",100.0,48.0,33.8,14.1,3.6,0.4
"Ealing","E09000009",100.0,46.0,34.2,15.2,4.3,0.4
"Enfield","E09000010",100.0,42.2,35.7,16.7,5.0,0.5
"Greenwich","E09000011",100.0,48.2,32.1,14.6,4.7,0.4
"Hackney","E09000012",100.0,45.0,32.5,16.0,6.0,0.6
"Hammersmith and Fulham","E09000013",100.0,51.4,31.1,13.0,4.1,0.5
"Haringey","E09000014",100.0,43.3,33.9,16.8,5.5,0.6
"Harrow","E09000015",100.0,48.7,34.5,13.4,3.1,0.3
"Havering","E09000016",100.0,47.3,34.5,14.7,3.3,0.2
"Hillingdon","E09000017",100.0,45.9,35.0,15.1,3.8,0.3
"Hounslow","E09000018",100.0,44.1,35.2,16.0,4.3,0.4
"Islington","E09000019",100.0,48.4,30.5,15.1,5.6,0.5
"Kensington and Chelsea","E09000020",100.0,52.6,30.3,12.1,4.4,0.6
"Kingston upon Thames","E09000021",100.0,55.8,30.9,10.7,2.4,0.2
"Lambeth","E09000022",100.0,50.0,31.7,13.8,4.1,0.4
"Lewisham","E09000023",100.0,47.2,32.5,15.2,4.7,0.4
"Merton","E09000024",100.0,53.9,31.3,11.8,2.8,0.2
"Newham","E09000025",100.0,39.3,35.8,18.4,6.1,0.4
"Redbridge","E09000026",100.0,46.3,35.0,14.8,3.7,0.3
"Richmond upon Thames","E09000027",100.0,61.0,28.1,8.7,2.1,0.2
"Southwark","E09000028",100.0,48.5,32.0,14.5,4.6,0.3
"Sutton","E09000029",100.0,50.9,33.1,12.7,3.1,0.2
"Tower Hamlets","E09000030",100.0,46.4,31.8,15.5,5.9,0.4
"Waltham Forest","E09000031",100.0,45.3,33.8,16.1,4.5,0.4
"Wandsworth","E09000032",100.0,58.4,27.9,10.5,3.0,0.3
"Westminster","E09000033",100.0,50.1,30.4,13.4,5.3,0.7



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

