"Time.period","Area.code","Area.name","Region.or.country.name","Index","Monthly.change","Annual.change","Rental.price","Index.one.bed","Monthly.change.one.bed","Annual.change.one.bed","Rental.price.one.bed","Index.two.bed","Monthly.change.two.bed","Annual.change.two.bed","Rental.price.two.bed","Index.three.bed","Monthly.change.three.bed","Annual.change.three.bed","Rental.price.three.bed","Index.four.or.more.bed","Monthly.change.four.or.more.bed","Annual.change.four.or.more.bed","Rental.price.four.or.more.bed","Index.detached","Monthly.change.detached","Annual.change.detached","Rental.price.detached","Index.semidetached","Monthly.change.semidetached","Annual.change.semidetached","Rental.price.semidetached","Index.terraced","Monthly.change.terraced","Annual.change.terraced","Rental.price.terraced","Index.flat.maisonette","Monthly.change.flat.maisonette","Annual.change.flat.maisonette","Rental.price.flat.maisonette"
42005,"E09000002","Barking and Dagenham","London",74.880356,NA,NA,972,75.081379,NA,NA,784,75.442715,NA,NA,992,74.050995,NA,NA,1081,74.408936,NA,NA,1486,75.188973,NA,NA,1083,74.555106,NA,NA,1127,73.798805,NA,NA,1051,75.280289,NA,NA,926
42036,"E09000002","Barking and Dagenham","London",75.863377,1.312789,NA,985,76.073025,1.320761,NA,794,76.424045,1.300762,NA,1004,75.0218,1.310996,NA,1095,75.368517,1.289603,NA,1505,76.176046,1.312789,NA,1097,75.533305,1.312048,NA,1141,74.764195,1.308137,NA,1064,76.270878,1.315868,NA,939
42064,"E09000002","Barking and Dagenham","London",76.887639,1.35014,NA,998,77.112438,1.366336,NA,805,77.450671,1.343328,NA,1018,76.05031,1.370947,NA,1110,76.386683,1.350918,NA,1525,77.20453,1.35014,NA,1112,76.555519,1.353329,NA,1157,75.786387,1.367222,NA,1079,77.291856,1.338621,NA,951
42095,"E09000002","Barking and Dagenham","London",77.797346,1.183164,NA,1010,78.047314,1.212354,NA,815,78.366609,1.182608,NA,1030,76.949214,1.181987,NA,1123,77.255834,1.13783,NA,1542,78.117986,1.183164,NA,1125,77.452675,1.171902,NA,1170,76.674727,1.172162,NA,1092,78.213759,1.192757,NA,963
42125,"E09000002","Barking and Dagenham","London",77.932164,0.173293,NA,1011,78.172612,0.160541,NA,816,78.496096,0.165232,NA,1032,77.069618,0.156472,NA,1125,77.360659,0.135686,NA,1545,78.253359,0.173293,NA,1127,77.577447,0.161094,NA,1172,76.810841,0.177521,NA,1094,78.349506,0.173559,NA,964
42156,"E09000002","Barking and Dagenham","London",78.043251,0.142543,NA,1013,78.277711,0.134445,NA,817,78.594409,0.125246,NA,1033,77.17,0.130248,NA,1127,77.400096,0.050977,NA,1545,78.364904,0.142543,NA,1129,77.684885,0.138492,NA,1174,76.920773,0.143121,NA,1095,78.461664,0.14315,NA,966
42186,"E09000002","Barking and Dagenham","London",78.211014,0.214962,NA,1015,78.438546,0.205468,NA,819,78.773618,0.228017,NA,1035,77.316176,0.18942,NA,1129,77.535812,0.175344,NA,1548,78.533359,0.214962,NA,1131,77.855972,0.220231,NA,1176,77.07139,0.195808,NA,1097,78.63876,0.225711,NA,968
42217,"E09000002","Barking and Dagenham","London",78.534772,0.413953,NA,1019,78.754212,0.402437,NA,822,79.101099,0.415723,NA,1040,77.645212,0.425572,NA,1133,77.909336,0.481743,NA,1556,78.858451,0.413953,NA,1136,78.209961,0.454671,NA,1182,77.37665,0.396074,NA,1102,78.965446,0.415425,NA,972
42248,"E09000002","Barking and Dagenham","London",79.385489,1.083236,NA,1030,79.608167,1.08433,NA,831,79.965093,1.092266,NA,1051,78.482222,1.077993,NA,1146,78.867503,1.229849,NA,1575,79.712674,1.083236,NA,1148,79.078643,1.110706,NA,1195,78.191042,1.052503,NA,1113,79.830848,1.095926,NA,982
42278,"E09000002","Barking and Dagenham","London",80.499668,1.403505,NA,1045,80.719062,1.395453,NA,843,81.078913,1.392883,NA,1066,79.603475,1.428672,NA,1162,80.091145,1.551516,NA,1599,80.831446,1.403505,NA,1164,80.225133,1.449809,NA,1212,79.288997,1.404195,NA,1129,80.942092,1.391998,NA,996
42309,"E09000002","Barking and Dagenham","London",81.331158,1.032911,NA,1056,81.520518,0.992896,NA,851,81.927139,1.046173,NA,1077,80.438659,1.049181,NA,1174,80.98445,1.115361,NA,1617,81.666363,1.032911,NA,1176,81.072541,1.056288,NA,1225,80.104009,1.027901,NA,1140,81.776164,1.030455,NA,1006
42339,"E09000002","Barking and Dagenham","London",81.879487,0.674193,NA,1063,82.080938,0.687458,NA,857,82.493498,0.691297,NA,1084,80.988808,0.683935,NA,1182,81.54826,0.696196,NA,1628,82.216952,0.674193,NA,1184,81.64421,0.705133,NA,1234,80.637401,0.665874,NA,1148,82.325697,0.671998,NA,1013
42370,"E09000002","Barking and Dagenham","London",82.148758,0.328862,9.706687,1066,82.395768,0.383561,9.741948,860,82.780503,0.347912,9.726304,1088,81.253918,0.327341,9.726976,1186,81.775626,0.278811,9.900275,1633,82.487332,0.328862,9.706687,1188,81.914193,0.330682,9.870667,1238,80.867945,0.285901,9.578934,1151,82.61823,0.355336,9.747494,1017
42401,"E09000002","Barking and Dagenham","London",82.495302,0.42185,8.741932,1071,82.819382,0.514121,8.868265,865,83.152478,0.449351,8.804078,1093,81.586422,0.409217,8.750286,1191,82.028463,0.309184,8.83651,1638,82.835304,0.42185,8.741932,1193,82.250901,0.41105,8.893555,1243,81.185394,0.392553,8.588602,1156,82.985137,0.444099,8.803176,1021
42430,"E09000002","Barking and Dagenham","London",83.173165,0.821699,8.17495,1079,83.532185,0.860671,8.325176,872,83.850159,0.839038,8.262663,1102,82.258392,0.82363,8.163126,1201,82.609193,0.707962,8.146066,1649,83.515961,0.821699,8.17495,1203,82.926708,0.821641,8.322311,1253,81.831226,0.795503,7.976153,1165,83.681028,0.838572,8.266294,1030
42461,"E09000002","Barking and Dagenham","London",84.499448,1.594604,8.61482,1097,84.876239,1.609026,8.749725,886,85.189329,1.597099,8.706157,1120,83.558219,1.580175,8.588788,1220,83.864416,1.519471,8.554152,1674,84.84771,1.594604,8.61482,1222,84.253506,1.599964,8.780627,1273,83.120869,1.575979,8.407128,1183,85.022953,1.603619,8.705877,1046
42491,"E09000002","Barking and Dagenham","London",85.892281,1.648334,10.214162,1115,86.29849,1.675675,10.394789,901,86.579121,1.631415,10.297359,1138,84.923979,1.634501,10.191254,1240,85.210032,1.604514,10.146465,1701,86.246284,1.648334,10.214162,1242,85.655471,1.663985,10.412851,1294,84.479249,1.634223,9.983498,1203,86.42823,1.652821,10.311135,1064
42522,"E09000002","Barking and Dagenham","London",86.656489,0.889729,11.036494,1125,87.067436,0.891031,11.228899,909,87.346882,0.886774,11.136253,1148,85.666237,0.874026,11.009767,1251,85.987355,0.912244,11.094637,1717,87.013642,0.889729,11.036494,1253,86.424556,0.897882,11.250156,1306,85.224083,0.881676,10.794626,1213,87.199555,0.892445,11.13651,1073
42552,"E09000002","Barking and Dagenham","London",86.685284,0.033229,10.835136,1125,87.093949,0.030451,11.034629,909,87.366426,0.022376,10.90823,1148,85.684058,0.020803,10.822939,1251,86.070594,0.096804,11.007536,1718,87.042556,0.033229,10.835136,1254,86.46704,0.049157,11.060254,1307,85.254448,0.035629,10.617503,1214,87.22459,0.02871,10.918062,1073
42583,"E09000002","Barking and Dagenham","London",86.777034,0.105842,10.495049,1126,87.19239,0.113028,10.714574,910,87.442869,0.087497,10.545708,1149,85.743197,0.069019,10.429471,1252,86.217952,0.171206,10.664468,1721,87.134683,0.105842,10.495049,1255,86.544388,0.089454,10.656478,1308,85.316421,0.072692,10.261197,1215,87.335469,0.12712,10.599602,1075
42614,"E09000002","Barking and Dagenham","London",86.976922,0.230347,9.562747,1129,87.394875,0.232228,9.781293,912,87.619184,0.201634,9.57179,1152,85.937106,0.226152,9.49882,1255,86.491849,0.317679,9.667284,1727,87.335396,0.230347,9.562747,1258,86.738035,0.223754,9.68579,1311,85.505196,0.221264,9.354209,1217,87.542104,0.236599,9.659493,1077
42644,"E09000002","Barking and Dagenham","London",87.507598,0.610134,8.705539,1136,87.899487,0.577393,8.895575,918,88.144887,0.599985,8.714933,1158,86.480417,0.632218,8.638997,1262,87.07648,0.675938,8.721732,1739,87.868259,0.610134,8.705539,1266,87.264313,0.606745,8.774283,1319,86.03087,0.614787,8.502911,1225,88.074622,0.608299,8.811892,1084
42675,"E09000002","Barking and Dagenham","London",87.834911,0.37404,7.996631,1140,88.182106,0.321526,8.17167,921,88.46799,0.366559,7.983742,1163,86.852496,0.430247,7.973574,1268,87.436968,0.41399,7.967601,1746,88.196921,0.37404,7.996631,1270,87.608997,0.394988,8.062478,1324,86.376498,0.401749,7.830431,1230,88.387111,0.354801,8.084199,1088
42705,"E09000002","Barking and Dagenham","London",88.318524,0.550593,7.864041,1146,88.619675,0.496211,7.966207,925,88.947919,0.542489,7.824157,1169,87.367273,0.592703,7.875737,1275,87.941099,0.576565,7.839332,1756,88.682526,0.550593,7.864041,1277,88.108382,0.570016,7.91749,1331,86.867932,0.568943,7.726601,1237,88.861506,0.536724,7.938965,1094
42736,"E09000002","Barking and Dagenham","London",88.587462,0.304509,7.837859,1150,88.834919,0.242885,7.814905,927,89.203433,0.287262,7.758989,1172,87.687057,0.366022,7.917328,1280,88.235833,0.33515,7.899918,1762,88.952573,0.304509,7.837859,1281,88.411953,0.344543,7.932399,1336,87.160158,0.336403,7.78085,1241,89.109544,0.279129,7.856999,1097
42767,"E09000002","Barking and Dagenham","London",88.925473,0.381557,7.79459,1154,89.116744,0.317246,7.603729,930,89.533124,0.369595,7.673429,1177,88.04465,0.407807,7.915812,1285,88.634284,0.451575,8.053084,1770,89.287396,0.376407,7.78906,1286,88.761784,0.395683,7.91588,1341,87.498349,0.388011,7.775974,1246,89.442181,0.37329,7.780964,1101
42795,"E09000002","Barking and Dagenham","London",89.093932,0.189438,7.118602,1156,89.270526,0.172563,6.869618,932,89.676065,0.159651,6.947997,1179,88.223579,0.203225,7.251767,1288,88.834291,0.225654,7.5356,1774,89.453628,0.186176,7.109618,1289,88.935406,0.195604,7.245793,1344,87.665581,0.191126,7.129742,1248,89.608203,0.185619,7.083057,1103
42826,"E09000002","Barking and Dagenham","London",89.893883,0.897874,6.383988,1167,90.110687,0.94114,6.167153,941,90.464638,0.879358,6.192453,1189,88.970489,0.84661,6.477244,1299,89.639166,0.90604,6.885817,1790,90.255915,0.896875,6.374013,1300,89.701573,0.861488,6.46628,1355,88.409013,0.848032,6.361993,1259,90.439238,0.92741,6.37038,1113
42856,"E09000002","Barking and Dagenham","London",90.720144,0.919152,5.620835,1177,90.993585,0.979793,5.440531,950,91.300072,0.923492,5.45276,1200,89.785286,0.915806,5.724304,1311,90.450543,0.905159,6.15011,1806,91.133583,0.972422,5.666678,1313,90.551616,0.947634,5.716091,1368,89.232493,0.931443,5.626522,1270,91.258919,0.906334,5.589249,1123
42887,"E09000002","Barking and Dagenham","London",91.580413,0.948267,5.682118,1189,91.900054,0.99619,5.550432,959,92.198073,0.98357,5.553938,1212,90.658577,0.972644,5.827663,1323,91.247358,0.880941,6.117183,1822,92.07788,1.036168,5.820051,1326,91.45397,0.996508,5.819426,1382,90.10204,0.974474,5.723684,1283,92.102336,0.924202,5.622485,1134
42917,"E09000002","Barking and Dagenham","London",91.806013,0.246341,5.907264,1191,92.169771,0.293489,5.827985,962,92.444124,0.266872,5.811955,1215,90.921598,0.290123,6.112619,1327,91.411564,0.179957,6.205336,1825,92.355534,0.301542,6.103886,1330,91.726682,0.298196,6.082829,1386,90.358224,0.284326,5.986521,1286,92.302506,0.217334,5.821657,1136
42948,"E09000002","Barking and Dagenham","London",92.193285,0.421837,6.241572,1196,92.600166,0.466958,6.202119,967,92.815325,0.401541,6.143961,1220,91.298179,0.414181,6.478627,1333,91.709781,0.326236,6.369705,1831,92.746011,0.422798,6.439833,1336,92.102414,0.409622,6.422168,1392,90.721015,0.401504,6.334764,1292,92.702488,0.433338,6.145291,1141
42979,"E09000002","Barking and Dagenham","London",92.591556,0.431996,6.455314,1202,93.039615,0.474567,6.458891,971,93.165378,0.37715,6.329885,1224,91.651005,0.386455,6.64893,1338,92.096596,0.421781,6.480087,1839,93.111422,0.393991,6.613615,1341,92.471286,0.400502,6.609847,1397,91.071024,0.385808,6.509345,1297,93.129071,0.460164,6.382034,1146
43009,"E09000002","Barking and Dagenham","London",92.866296,0.296722,6.123694,1205,93.342916,0.325991,6.192789,974,93.391012,0.242187,5.951707,1227,91.908269,0.2807,6.276394,1342,92.322227,0.244995,6.024299,1843,93.379238,0.28763,6.271866,1345,92.740226,0.290836,6.275088,1401,91.338138,0.293303,6.169028,1300,93.408184,0.299706,6.055731,1150
43040,"E09000002","Barking and Dagenham","London",93.119846,0.273027,6.016895,1208,93.611903,0.288171,6.157481,977,93.607298,0.231592,5.809229,1230,92.143588,0.256037,6.092044,1345,92.486439,0.177868,5.774984,1847,93.599521,0.235902,6.125611,1348,92.991261,0.270686,6.143507,1405,91.580342,0.265173,6.024606,1304,93.668076,0.278232,5.974813,1153
43070,"E09000002","Barking and Dagenham","London",93.327109,0.222576,5.671047,1211,93.788061,0.188179,5.832098,979,93.80212,0.208126,5.457351,1233,92.346069,0.219745,5.698697,1348,92.565664,0.085661,5.258708,1848,93.765487,0.177314,5.731637,1351,93.185503,0.208882,5.762359,1408,91.809562,0.250295,5.688671,1307,93.868788,0.21428,5.634928,1155
43101,"E09000002","Barking and Dagenham","London",93.632725,0.327468,5.695234,1215,94.08746,0.319229,5.912698,982,94.099638,0.317176,5.488807,1237,92.609971,0.285775,5.614186,1352,92.780437,0.232022,5.150519,1852,94.051679,0.305221,5.732387,1355,93.461579,0.296265,5.711474,1412,92.083781,0.298682,5.648938,1311,94.194722,0.347223,5.706659,1159
43132,"E09000002","Barking and Dagenham","London",93.610461,-0.023778,5.268443,1215,94.073893,-0.01442,5.562534,982,94.077303,-0.023735,5.075417,1236,92.573673,-0.039195,5.144007,1351,92.704567,-0.081773,4.592222,1851,94.041787,-0.010517,5.324818,1355,93.444169,-0.018628,5.275227,1412,92.055468,-0.030747,5.208235,1311,94.174537,-0.021429,5.290966,1159
43160,"E09000002","Barking and Dagenham","London",93.105624,-0.539295,4.502767,1208,93.613643,-0.489243,4.865118,977,93.56597,-0.543525,4.337729,1230,92.035346,-0.581512,4.320576,1344,92.13854,-0.610571,3.719564,1840,93.542481,-0.530941,4.57092,1347,92.953346,-0.525258,4.517819,1405,91.53296,-0.567601,4.411514,1303,93.676315,-0.529041,4.539888,1153
43191,"E09000002","Barking and Dagenham","London",92.685471,-0.451265,3.105426,1203,93.222664,-0.417652,3.453505,973,93.138836,-0.456505,2.95607,1224,91.601653,-0.471224,2.957345,1337,91.654007,-0.525874,2.247724,1830,93.103064,-0.469751,3.154529,1341,92.558095,-0.425215,3.184472,1399,91.117566,-0.45382,3.063661,1297,93.251143,-0.453873,3.109165,1148
43221,"E09000002","Barking and Dagenham","London",92.389311,-0.319533,1.839907,1199,92.935879,-0.307634,2.134539,970,92.835061,-0.326153,1.681257,1220,91.279086,-0.352142,1.663747,1333,91.300446,-0.385756,0.939633,1823,92.785735,-0.340836,1.81289,1337,92.26734,-0.314132,1.894748,1394,90.817773,-0.329017,1.776573,1293,92.956845,-0.315598,1.860558,1144
43252,"E09000002","Barking and Dagenham","London",92.514165,0.135139,1.019597,1201,93.086087,0.161625,1.290567,972,92.950861,0.124738,0.816491,1222,91.39809,0.130375,0.815712,1334,91.364528,0.070188,0.128408,1824,92.899203,0.12229,0.891987,1338,92.396435,0.139914,1.030535,1396,90.930302,0.123906,0.919249,1295,93.086697,0.139691,1.068769,1146
43282,"E09000002","Barking and Dagenham","London",92.553237,0.042234,0.813916,1201,93.139619,0.057508,1.052241,972,92.986872,0.038741,0.587109,1222,91.393316,-0.005224,0.518818,1334,91.244083,-0.131829,-0.183217,1822,92.873965,-0.027167,0.561342,1338,92.406704,0.011114,0.741357,1396,90.910058,-0.022263,0.610718,1294,93.159201,0.077889,0.928139,1147
43313,"E09000002","Barking and Dagenham","London",92.628117,0.080905,0.471653,1202,93.203884,0.068999,0.651962,973,93.050827,0.068779,0.253732,1223,91.458355,0.071164,0.175443,1335,91.27329,0.03201,-0.475949,1822,92.885307,0.012213,0.150191,1338,92.470502,0.06904,0.399651,1397,90.971165,0.067217,0.275735,1295,93.243941,0.090962,0.584076,1148
43344,"E09000002","Barking and Dagenham","London",92.555211,-0.078709,-0.039253,1201,93.118377,-0.091741,0.084654,972,92.96216,-0.09529,-0.218126,1222,91.385062,-0.080139,-0.290169,1334,91.139852,-0.146196,-1.038849,1820,92.771024,-0.123037,-0.365582,1336,92.409923,-0.065512,-0.066359,1396,90.897218,-0.081286,-0.190847,1294,93.170828,-0.07841,0.044838,1147
43374,"E09000002","Barking and Dagenham","London",92.484533,-0.076363,-0.411089,1200,92.993646,-0.133949,-0.37418,971,92.896085,-0.071077,-0.529952,1221,91.406695,0.023673,-0.545733,1334,91.244197,0.114489,-1.167683,1822,92.739484,-0.033997,-0.685114,1336,92.421396,0.012415,-0.343788,1396,90.946844,0.054596,-0.428402,1295,93.031157,-0.149909,-0.403634,1145
43405,"E09000002","Barking and Dagenham","London",92.386375,-0.106134,-0.787663,1199,92.834693,-0.170929,-0.830247,969,92.828253,-0.07302,-0.832249,1220,91.394903,-0.012901,-0.81252,1334,91.254921,0.011753,-1.331567,1822,92.694087,-0.048951,-0.967349,1335,92.397352,-0.026016,-0.638672,1396,90.945243,-0.001761,-0.693488,1295,92.875686,-0.167117,-0.845955,1143
43435,"E09000002","Barking and Dagenham","London",92.478745,0.099982,-0.909022,1200,92.845214,0.011333,-1.005296,969,92.968882,0.151493,-0.888294,1222,91.551157,0.170966,-0.860796,1336,91.528461,0.299754,-1.120506,1827,92.789066,0.102464,-1.041344,1337,92.545911,0.160783,-0.686364,1398,91.13247,0.205868,-0.737496,1297,92.915698,0.043082,-1.015342,1144
43466,"E09000002","Barking and Dagenham","London",92.554085,0.081468,-1.15199,1201,92.874786,0.031851,-1.28888,970,93.050001,0.087254,-1.115453,1223,91.65567,0.114158,-1.030452,1338,91.624635,0.105075,-1.245739,1829,92.849007,0.0646,-1.278735,1337,92.640684,0.102406,-0.878323,1400,91.260485,0.14047,-0.894073,1299,92.964391,0.052406,-1.306156,1144
43497,"E09000002","Barking and Dagenham","London",92.728424,0.188364,-0.942242,1203,93.054676,0.193691,-1.083422,971,93.202048,0.163404,-0.930358,1225,91.84398,0.205453,-0.788229,1341,91.803886,0.195637,-0.97156,1833,92.952479,0.111441,-1.158324,1339,92.826553,0.200635,-0.660946,1403,91.470687,0.230333,-0.635248,1302,93.122105,0.169649,-1.117533,1146
43525,"E09000002","Barking and Dagenham","London",92.858792,0.140591,-0.26511,1205,93.217945,0.175455,-0.422692,973,93.287892,0.092106,-0.2972,1226,91.980525,0.148671,-0.059565,1343,91.843409,0.043052,-0.320312,1834,93.016152,0.0685,-0.562663,1340,92.93082,0.112324,-0.024234,1404,91.633464,0.177954,0.1098,1305,93.244054,0.130957,-0.46144,1148
43556,"E09000002","Barking and Dagenham","London",92.922339,0.068435,0.255561,1206,93.336772,0.127472,0.122404,974,93.31706,0.031267,0.191354,1226,92.019222,0.042071,0.455853,1343,91.83262,-0.011747,0.194878,1834,93.007655,-0.009134,-0.102476,1340,92.963046,0.034678,0.437511,1405,91.694262,0.066349,0.632914,1305,93.315399,0.076513,0.068906,1148
43586,"E09000002","Barking and Dagenham","London",93.427189,0.543303,1.123375,1212,93.903137,0.606798,1.04078,980,93.805825,0.523768,1.045687,1233,92.46807,0.487776,1.302581,1350,92.256405,0.461475,1.047047,1842,93.409231,0.431766,0.671974,1346,93.42608,0.498083,1.25585,1412,92.156607,0.504225,1.474198,1312,93.845505,0.56808,0.955992,1155
43617,"E09000002","Barking and Dagenham","London",94.027032,0.642043,1.635282,1220,94.554169,0.693301,1.577123,987,94.389934,0.622679,1.548208,1241,93.014534,0.590976,1.768575,1358,92.762149,0.548194,1.52972,1852,93.97321,0.603773,1.1561,1354,94.020555,0.636306,1.757774,1421,92.716146,0.60716,1.96397,1320,94.46214,0.657075,1.477593,1163
43647,"E09000002","Barking and Dagenham","London",94.736088,0.754098,2.358481,1229,95.301823,0.790715,2.321465,995,95.088221,0.73979,2.259835,1250,93.678761,0.714112,2.50067,1368,93.372564,0.658044,2.332734,1864,94.654636,0.725128,1.917299,1363,94.720113,0.744047,2.503507,1431,93.404188,0.742096,2.743514,1330,95.180948,0.760948,2.170206,1171
43678,"E09000002","Barking and Dagenham","London",94.847385,0.117481,2.39589,1231,95.459121,0.165053,2.419682,997,95.152404,0.067499,2.258526,1251,93.756841,0.083349,2.513151,1369,93.422905,0.053914,2.355142,1865,94.804099,0.157904,2.065765,1366,94.832394,0.11854,2.554211,1433,93.54175,0.147275,2.825714,1332,95.281003,0.105121,2.184659,1173
43709,"E09000002","Barking and Dagenham","London",94.862337,0.015764,2.492703,1231,95.509166,0.052425,2.567472,997,95.129088,-0.024505,2.330979,1250,93.729495,-0.029167,2.565445,1368,93.476439,0.057303,2.563739,1866,94.751696,-0.055275,2.135012,1365,94.816538,-0.01672,2.604282,1433,93.549604,0.008397,2.918006,1332,95.305285,0.025485,2.290907,1173
43739,"E09000002","Barking and Dagenham","London",94.798105,-0.067711,2.501578,1230,95.509654,0.000511,2.70557,997,95.019759,-0.114927,2.286075,1249,93.615788,-0.121314,2.416774,1367,93.474761,-0.001795,2.44461,1866,94.602158,-0.157821,2.008502,1363,94.703948,-0.118745,2.469723,1431,93.446725,-0.109972,2.748728,1330,95.265965,-0.041256,2.402215,1172
43770,"E09000002","Barking and Dagenham","London",94.83027,0.03393,2.645298,1231,95.578981,0.072586,2.956102,998,95.024531,0.005022,2.365959,1249,93.604967,-0.01156,2.418147,1366,93.511432,0.039231,2.472755,1867,94.532054,-0.074105,1.98283,1362,94.662582,-0.04368,2.451618,1430,93.428344,-0.01967,2.730325,1330,95.332133,0.069455,2.644876,1173
43800,"E09000002","Barking and Dagenham","London",94.857796,0.029026,2.572538,1231,95.648598,0.072837,3.019418,999,95.023227,-0.001372,2.209713,1249,93.570223,-0.037117,2.205396,1366,93.428168,-0.089041,2.075537,1865,94.524953,-0.007511,1.870789,1362,94.622437,-0.042408,2.243779,1430,93.395935,-0.034689,2.483708,1330,95.394852,0.06579,2.668175,1174
43831,"E09000002","Barking and Dagenham","London",94.974389,0.122913,2.615015,1233,95.782931,0.140444,3.131253,1000,95.11251,0.093959,2.21656,1250,93.622546,0.055919,2.145941,1367,93.364407,-0.068247,1.898804,1864,94.60341,0.083002,1.889523,1363,94.675383,0.055955,2.196335,1431,93.464511,0.073426,2.415094,1331,95.541362,0.153583,2.771997,1176
43862,"E09000002","Barking and Dagenham","London",95.13072,0.164604,2.590679,1235,95.96396,0.189,3.126424,1002,95.244306,0.138569,2.191216,1252,93.730674,0.115493,2.054238,1368,93.362124,-0.002445,1.697356,1864,94.745156,0.149831,1.928595,1365,94.798793,0.13035,2.12465,1432,93.576745,0.120081,2.302439,1332,95.720578,0.18758,2.790394,1178
43891,"E09000002","Barking and Dagenham","London",95.305245,0.183458,2.634596,1237,96.178755,0.223828,3.176223,1004,95.398002,0.16137,2.261933,1254,93.897854,0.178362,2.084494,1371,93.414899,0.056527,1.711054,1865,94.89069,0.153606,2.015282,1367,94.955489,0.165293,2.178684,1435,93.736944,0.171196,2.295537,1335,95.904079,0.191705,2.852755,1180
43922,"E09000002","Barking and Dagenham","London",95.3713,0.069309,2.635492,1238,96.2793,0.10454,3.152593,1005,95.454626,0.059356,2.290648,1255,93.964613,0.071098,2.114113,1372,93.409993,-0.005252,1.717661,1865,94.963961,0.077216,2.103381,1368,95.017548,0.065357,2.21002,1436,93.795651,0.06263,2.291735,1335,95.973111,0.07198,2.848096,1181
43952,"E09000002","Barking and Dagenham","London",95.372776,0.001547,2.082463,1238,96.303684,0.025327,2.556408,1005,95.452644,-0.002076,1.755562,1254,93.973599,0.009563,1.628161,1372,93.339287,-0.075695,1.173775,1864,94.996149,0.033895,1.698889,1368,95.021473,0.004131,1.707653,1436,93.796366,0.000762,1.779318,1335,95.973768,0.000685,2.267838,1181
43983,"E09000002","Barking and Dagenham","London",95.381946,0.009615,1.440983,1238,96.327182,0.0244,1.87513,1006,95.46761,0.015679,1.141728,1255,93.978793,0.005527,1.036676,1372,93.290761,-0.051989,0.569857,1863,95.041466,0.047704,1.136767,1369,95.020787,-0.000722,1.063844,1436,93.801495,0.005468,1.170615,1335,95.984937,0.011637,1.612071,1181
44013,"E09000002","Barking and Dagenham","London",95.456478,0.078141,0.760418,1239,96.408182,0.084088,1.160901,1006,95.546826,0.082977,0.482294,1256,94.056807,0.083012,0.403555,1373,93.347355,0.060664,-0.026999,1864,95.133195,0.096514,0.505584,1370,95.081788,0.064197,0.381835,1437,93.874702,0.078046,0.50374,1337,96.061493,0.079759,0.925128,1182
44044,"E09000002","Barking and Dagenham","London",95.5795,0.128877,0.771887,1240,96.553589,0.150825,1.146531,1008,95.668205,0.127035,0.542078,1257,94.16968,0.120006,0.44033,1375,93.483211,0.145538,0.064551,1866,95.201749,0.072062,0.419444,1371,95.137868,0.058981,0.32212,1438,93.996905,0.130177,0.48658,1338,96.195853,0.139869,0.96016,1184
44075,"E09000002","Barking and Dagenham","London",95.693702,0.119484,0.876391,1242,96.682902,0.133928,1.228925,1009,95.766196,0.102429,0.669731,1259,94.303667,0.142282,0.612584,1377,93.688575,0.21968,0.22694,1871,95.250309,0.051007,0.526231,1372,95.202263,0.067686,0.406812,1439,94.140779,0.153062,0.631938,1340,96.308483,0.117084,1.052615,1185
44105,"E09000002","Barking and Dagenham","London",95.806735,0.118119,1.063976,1243,96.797512,0.118543,1.348406,1010,95.862157,0.100203,0.88655,1260,94.455524,0.161029,0.897002,1379,93.900026,0.225696,0.454952,1875,95.3071,0.059622,0.745164,1373,95.281284,0.083004,0.609622,1440,94.313851,0.183844,0.927936,1343,96.406782,0.102067,1.197506,1186
44136,"E09000002","Barking and Dagenham","London",95.921315,0.119595,1.150524,1245,96.904919,0.110961,1.38727,1012,95.95832,0.100314,0.982682,1261,94.631262,0.186054,1.096411,1381,94.031527,0.140043,0.556184,1877,95.461306,0.1618,0.983003,1375,95.428557,0.154566,0.809164,1442,94.507736,0.205575,1.155316,1346,96.487872,0.084113,1.21233,1187
44166,"E09000002","Barking and Dagenham","London",96.021098,0.104026,1.226364,1246,96.988243,0.085985,1.400591,1012,96.052229,0.097865,1.082895,1262,94.790959,0.168757,1.30462,1384,94.062986,0.033456,0.679471,1878,95.593836,0.13883,1.130794,1377,95.579982,0.158679,1.011964,1444,94.677785,0.179931,1.37249,1348,96.554727,0.069288,1.215868,1188
44197,"E09000002","Barking and Dagenham","London",96.205967,0.19253,1.296748,1249,97.156081,0.17305,1.433607,1014,96.24514,0.200839,1.190831,1265,95.032402,0.254712,1.505893,1387,94.106118,0.045855,0.794426,1879,95.84196,0.259561,1.309202,1381,95.819155,0.250233,1.208098,1448,94.903235,0.238124,1.539326,1351,96.71594,0.166965,1.229392,1190
44228,"E09000002","Barking and Dagenham","London",96.408272,0.210283,1.342943,1251,97.303803,0.152045,1.396193,1016,96.46311,0.226474,1.279661,1268,95.261436,0.241006,1.633149,1391,94.297054,0.202894,1.001401,1883,96.060187,0.227695,1.387967,1384,96.019735,0.209331,1.28793,1451,95.109144,0.216967,1.637586,1354,96.916504,0.207374,1.249393,1193
